,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
0,MINIATURE,DIRECT,CURRENT,MOTOR,A,miniature,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coils,support,frame,output,shaft,receiving,seat,housing,iron,core,output,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,miniature,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BRUSHROLL,FOR,VACUUM,CLEANER,A,brushroll,surface,cleaning,apparatus,brush,dowel,axis,supports,surface,bristle,supports,plurality,bristles,bristle,surface,convex,surfaces,bristle,surface,corners,iniature,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SYSTEM,AND,METHOD,FOR,FLUID,HANDLING,IN,A,SHOWER,OR,BATH,Showerhead,devices,sensors,bath,fill,levels,Showerheads,attachments,attachments,Oral,care,devices,arms,Pump,devices,lotions,fluids,conjunction,showers,Shower,devices,storage,access,accessories,Bathtub,sensors,valves,bathtub,levels,iniature,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ARTICULATING,ASSEMBLIES,FOR,CLEANING,TOOLS,AND,METHODS,OF,USE,adapter,method,tool,mop,equipment,joint,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,COSMETIC,BRUSH,FIBER,WITH,STAR-SHAPED,CROSS,SECTION,Example,aspects,brush,assembly,method,brush,assembly,brush,assembly,plurality,brush,bristles,brush,bristles,transverse,cross,section,brush,bristles,outer,edges,inner,edges,length,brush,bristle,ferrule,plurality,brush,bristles,iniature,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PET,ENTERTAINMENT,AND,GROOMING,SYSTEM,AND,METHOD,OF,USE,A,pet,entertainment,grooming,system,set,bristles,wires,arrangements,body,cat,opportunity,brush,skin,fur,system,wall,article,furniture,location,cat,system,people,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DEVICE,FOR,PROVIDING,AESTHETIC,LIGHTING,applicator,beauty,products,device,beauty,products,embodiments,device,body,power,supply,batteries,power,supply,source,source,opaque,body,source,glow,light,Further,source,shape,orientation,source,perimeter,brush,heads,circumference,source,hollow,body,switch,power,supply,source,switch,circuit,power,power,supply,source,source,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SURFACE,CLEANING,APPARATUS,disclosure,surface,cleaning,apparatus,housing,base,movement,surface,fluid,delivery,system,recovery,system,surface,apparatus,surfaces,surfaces,cleaning,modes,cleaning,vacuum,cleaning,self-cleaning,Methods,surface,cleaning,apparatus,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Apparatus,Holder,A,cleaning,apparatus,holder,assembly,example,pad,work,surface,sink,pad,pivot,component,axis,rotation,swivel,pad,pivot,component,mounting,pad,axis,rotation,swivel,pivot,component,axis,rotation,axis,rotation,resting,arm,swivel,pivot,component,swivel,axis,rotation,axis,rotation,plane,axis,rotation,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Roller,Brush,Particular,A,Cleaning,Maintenance,Device,A,Cleaning,Maintenance,Device,Roller,brushes,cleaning,and/or,care,devices,example,care,floor,coverings,form,tiles,blocks,concrete,wood,cylinder,cylinder,surface,plurality,bundle,bristles,brush,plurality,bundle,bristles,brush,cylinder,surface,bundle,bristles,bundle,bristles,iniature,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FABRIC,TREATING,APPLIANCE,COMPRISING,A,SCRUBBING,TOOL,A,fabric,appliance,cabinet,interior,wall,access,opening,cover,cabinet,position,position,access,opening,tub,interior,top,access,opening,basket,tub,opening,top,access,opening,wall,cabinet,tub,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CLEANING,DEVICE,AND,ROLLER,BRUSH,COMPONENT,embodiments,application,cleaning,device,roller,brush,component,roller,brush,component,mounting,base,roller,brush,frame,adjusting,mechanism,roller,brush,roller,brush,notch,side,base,roller,brush,frame,base,adjusting,mechanism,connection,roller,brush,frame,roller,brush,frame,roller,brush,roller,brush,roller,brush,frame,roller,brushes,notch,roller,brush,frame,roller,brush,roller,brush,roller,brush,roller,brush,ground,clearances,rotation,roller,brush,frame,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Spring,Attachment,C-Channel,Method,Using,Same,A,method,device,material,groove,attachment,detachment,objects,groove,device,element,material,biasing,element,aperture,groove,point,groove,ends,groove,portion,element,groove,element,dimension,groove,material,element,groove,object,object,iniature,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Pruner,Cleaner,A,pruner,machine,scrubs,sap,matter,pruner,blades,chamber,machine,motor,drive,shaft,scrubbers,thereon,scrubbers,surfaces,scrubber,element,resides,scrubbers,iniature,motor,cover,receiving,seat,housing,receiving,seat,support,frame,housing,magnets,coil,support,frame,output,shaft,receiving,seat,housing,iron,core,output,shaft,magnets,group,side,surface,support,frame,angle,connection,lines,centers,magnets,side,surface,support,frame,axis,output,shaft,iron,core,portion,output,shaft,swing,arms,sides,portion,swing,arms,magnets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
