,0,1
0,iron,13386.60451
1,magnets,13377.01961
2,swing,13324.47495
3,arms,13258.01873
4,centers,13234.39719
5,coil,13112.51168
6,lines,13103.2011
7,seat,13084.60766
8,shaft,12960.06118
9,sides,12801.05884
10,cover,12792.05513
11,motor,12778.56604
12,axis,12774.07407
13,angle,12751.64706
14,frame,12693.59191
15,core,12640.32717
16,support,11608.88091
17,group,11514.83495
18,side,11078.07764
19,housing,10634.91897
20,receiving,10382.85334
21,portion,9998.000335
22,surface,9809.269901
23,connection,9631.217742
24,output,8422.885657
25,data,3902.294224
26,brush,3678.064394
27,system,3188.901865
28,comprising,2634.601361
29,cleaning,2445.78262
30,sensor,2436.345917
31,handle,2375.699465
32,monitoring,2353.249065
33,information,2280.777903
34,head,1802.257107
35,toothbrush,1768.324058
36,health,1546.258743
37,method,1447.440352
38,time,1398.107908
39,applicator,1289.558037
40,signal,1225.051181
41,communication,1135.772919
42,device,1115.975911
43,module,1115.564537
44,processing,1103.973803
45,patient,1066.014026
46,processor,1044.469418
47,display,957.0426617
48,user,899.9059873
49,network,837.4236631
50,heart,828.8873555
51,analysis,819.5649294
52,invention,812.9640329
53,rate,772.7262254
54,detection,755.4534639
55,sensors,737.4987835
56,signals,725.7766412
57,server,697.2855691
58,computer,695.2694661
59,blood,686.812097
60,container,657.1271458
61,interface,655.2462514
62,management,640.9641982
63,value,632.2089567
64,wireless,631.6272335
65,temperature,625.8194928
66,memory,611.8700136
67,parameters,610.4279386
68,condition,592.6107919
69,parameter,553.6678466
70,member,551.9190392
71,terminal,545.7566821
72,measurement,538.8120952
73,monitor,534.5581535
74,acquisition,531.9564377
75,reservoir,526.8942445
76,control,523.0567142
77,activity,520.5441022
78,input,519.0777122
79,unit,509.442355
80,teeth,503.0776993
81,Toothbrush,501.9869002
82,transmission,499.5033526
83,state,495.166185
84,surfaces,480.7045938
85,response,480.191742
86,tool,462.5280031
87,material,454.6614842
88,methods,442.7464263
89,database,436.8456012
90,implement,411.1048331
91,subject,410.0754978
92,end,408.4426818
93,steps,401.7467434
94,hair,398.5402975
95,devices,388.8625341
96,function,387.0353794
97,systems,386.567163
98,cap,377.1884467
99,level,361.0717068
100,equipment,356.8030133
101,pressure,344.9567414
102,FOR,339.9849796
103,diagnosis,321.2534262
104,service,318.9758631
105,conditions,318.9282662
106,alarm,310.0172191
107,ECG,310.0172191
108,patients,309.8320611
109,wherein,305.2697735
110,liquid,300.2217928
111,field,297.8272685
112,AND,296.8038098
113,opening,294.488335
114,storage,291.3261668
115,result,288.8107679
116,period,288.5232603
117,dispenser,285.60911
118,rotation,284.2068201
119,comprises,280.5617115
120,mode,276.8951265
121,holder,275.481009
122,status,274.6234413
123,motion,272.5015675
124,phone,268.2569783
125,pulse,266.4850625
126,values,266.0150696
127,identification,264.3899023
128,software,262.3401482
129,cleaner,260.4461563
130,Internet,259.3099961
131,circuit,259.0690587
132,instructions,257.7415404
133,person,254.2956332
134,body,252.9974614
135,program,251.7521905
136,platform,249.3776017
137,grip,247.0537011
138,sign,245.0981552
139,assembly,245.0194622
140,collection,244.9814658
141,screen,243.7276747
142,System,243.6719184
143,change,241.6932883
144,roller,240.066069
145,location,239.4448372
146,A,234.1704001
147,states,231.6282674
148,intelligent,227.5346554
149,order,225.874058
150,nozzle,225.8425719
151,element,223.4257207
152,treatment,221.168427
153,remote,220.9496037
154,fluid,220.4642351
155,feedback,219.0989261
156,frequency,217.6858636
157,indicative,217.68402
158,access,216.8203665
159,disease,215.77006
160,results,212.2570128
161,set,208.7300134
162,plastic,207.2304761
163,basis,206.5370551
164,measurements,203.5505442
165,stem,200.7327425
166,power,200.1751024
167,Systems,198.8245099
168,healthcare,198.8177811
169,range,197.5475393
170,i,197.4763628
171,signs,197.017748
172,controller,196.8059151
173,computing,196.5679138
174,communications,194.8194933
175,record,194.5593599
176,sensing,194.1097512
177,neck,191.9450938
178,technology,190.407718
179,individual,190.2989894
180,comparison,189.4270052
181,threshold,188.3586206
182,drive,187.0272718
183,b,184.3436021
184,determination,180.6563537
185,elements,179.7710763
186,model,179.3958671
187,changes,178.999395
188,message,177.9702803
189,users,177.1713615
190,assessment,176.6348594
191,cloud,175.295599
192,detector,174.4360698
193,oxygen,173.9494936
194,outer,173.3564384
195,video,173.0567482
196,METHOD,172.9458691
197,environment,172.4806903
198,ii,172.4723307
199,test,170.514687
200,Wherein,168.8135415
201,services,168.6085612
202,acceleration,167.718121
203,exercise,167.0320403
204,electrode,166.65421
205,diameter,166.5826307
206,hospital,166.1417014
207,electrocardiogram,165.9380613
