,0,1
7088,soil,9292.961118
7706,implement,9280.914873
5331,moisture,9240.865082
8732,depth,9173.146703
3772,adjustment,9054.756108
12799,content,8988.290515
12704,operating,8860.534235
9853,characteristics,8606.171255
8487,indicative,8420.606054
7095,controller,8195.387981
5200,operation,7709.199019
2663,field,7590.684413
8231,surface,7305.839696
11244,parameter,7224.688203
11491,value,6543.800511
5420,plurality,6238.200398
9597,comprising,4054.68164
4401,data,2861.440433
2620,monitoring,2726.068923
3044,sensor,2718.509276
8175,system,2560.611155
1315,information,1758.423554
11969,invention,1731.714196
6361,time,1640.147307
3341,user,1618.995529
6787,heart,1540.721011
328,health,1437.487026
9342,body,1263.083905
10718,module,1220.287876
11734,communication,1181.722744
13073,blood,1162.135457
4280,signal,1116.550627
8462,processing,1105.416652
4543,rate,1103.324028
6971,patient,1063.397612
2425,AND,1046.135157
5252,analysis,1042.578212
7167,device,969.7432563
10636,processor,966.5699857
7937,detection,953.0055988
11911,display,861.0319132
7027,acquisition,810.9965772
4602,signals,799.4333301
5503,wireless,784.9604004
6638,monitor,765.0872542
12858,measurement,695.7946181
1797,pressure,684.7963149
5286,..,675.7621726
9027,network,675.7393605
688,sensors,665.0298596
11038,server,650.5077476
11863,ECG,633.4570447
1741,parameters,588.3642459
11489,METHOD,583.5683809
6717,subject,576.1533865
902,motion,575.3312726
8367,condition,570.1186062
7356,activity,558.1637225
4654,terminal,543.9245119
12400,alarm,521.6817893
4933,equipment,520.2461346
9256,pulse,518.5406066
8773,computer,495.8697595
7146,management,474.9770203
4121,transmission,469.7073409
2927,person,458.0270368
5475,temperature,453.2314414
1804,interface,416.0089029
8876,method,414.8192322
11846,function,413.7066721
3641,intelligent,409.5808422
10254,steps,396.2585588
5611,phone,382.7836206
1188,skin,381.0363764
9825,sign,371.060089
12130,movement,364.0738841
1220,diagnosis,362.957194
989,states,357.5536609
6671,electrocardiogram,356.3861528
3714,wrist,353.0890271
7806,state,346.5225686
4847,collection,342.0146688
4586,care,340.1497909
12600,DEVICE,339.7828113
8920,vehicle,336.3007128
1133,screen,320.2762232
6936,database,318.6138668
10330,storage,308.5502744
6358,comprises,301.6370028
12017,signs,292.1026684
491,Bluetooth,287.6903051
5437,treatment,286.6554222
11450,respiratory,284.7895066
7213,result,279.5651172
3487,order,277.8370471
3852,service,273.7166289
11025,patients,269.4339281
7023,acceleration,269.1579261
4675,receiving,268.2662322
8220,waveform,258.9556488
8858,oxygen,256.817448
9646,remote,256.0206645
2790,conditions,252.5941445
6821,algorithm,251.5884978
2907,results,251.0338424
1172,electrodes,248.591601
3098,software,247.0744908
12854,Internet,246.7452469
7017,connection,246.5304166
3494,status,245.0066483
1039,material,242.6285876
6260,period,240.5858567
15,people,238.2802839
3063,wherein,234.0444335
1601,identification,231.8386402
8888,mode,231.1186793
11428,microprocessor,231.0381582
4089,direction,229.218065
7760,level,228.9731278
3210,type,228.6871177
10522,unit,227.5442022
7531,change,223.9551498
795,output,222.7971763
10870,cloud,222.6040606
9005,Wherein,220.187172
4065,measuring,218.1744894
263,activities,216.9975048
5914,values,216.1506555
12939,application,214.8990679
3963,disease,214.5917612
12354,exercise,213.3892851
661,resin,208.0785395
9015,positioning,207.340367
1592,accelerometer,206.6114071
4067,measurements,203.5104879
6862,preset,203.0671823
9997,life,200.27495
12521,advantages,198.6318416
12908,response,196.2646944
12173,composition,195.2587043
