,0,1,2,3,4,5
0,단어,DF,유효집단 단어 빈도 수,비교집단 단어 빈도 수,유효집단 문서 수,비교집단 문서 수
1,진단,0.0020675529818974378,832,38,383792,378909
2,수리,1.5129796898328301e-05,21,15,383792,378909
3,가속,5.407915489168806e-05,40,19,383792,378909
4,신발,0.0002179283675035245,112,28,383792,378909
5,출력전압,-6.71561640321777e-08,2,2,383792,378909
6,한번,-5.3118902889048136e-06,1,3,383792,378909
7,상응,7.499093522714642e-05,46,17,383792,378909
8,설문,0.0001380956351356985,53,0,383792,378909
9,투,-6.076774654325252e-05,2,25,383792,378909
10,지국,2.6055780214282737e-06,1,0,383792,378909
11,주고,1.0422312085713095e-05,4,0,383792,378909
12,트랜스미터,2.3450202192854464e-05,9,0,383792,378909
13,자택,2.3450202192854464e-05,9,0,383792,378909
14,도어록,-7.951046392349176e-06,1,4,383792,378909
15,익스트라,2.6055780214282737e-06,1,0,383792,378909
16,신호,0.008912170586185198,4252,821,383792,378909
17,전세계,2.571999939412185e-06,2,1,383792,378909
18,은,-0.0011979352710592653,150,602,383792,378909
19,허가,0.00012506774502855713,48,0,383792,378909
20,오체,2.6055780214282737e-06,1,0,383792,378909
21,지연,-4.313310586954419e-05,27,43,383792,378909
22,세침,1.0422312085713095e-05,4,0,383792,378909
23,이,-0.0012255491554221147,265,726,383792,378909
24,수고,-3.357808201608885e-08,1,1,383792,378909
25,좌우,-5.4562760415739975e-05,53,73,383792,378909
26,트랜스,4.125273327664321e-05,29,13,383792,378909
27,중량감,1.8239046149997916e-05,7,0,383792,378909
28,뇌손상,5.2111560428565474e-06,2,0,383792,378909
29,근처,3.8915779911343667e-05,20,5,383792,378909
30,소모품,-1.0590202495793539e-05,1,5,383792,378909
31,작업복,9.380080877141786e-05,36,0,383792,378909
32,폴리머,-0.0005994913724660634,12,239,383792,378909
33,전용선,5.2111560428565474e-06,2,0,383792,378909
34,미러,0.000127136073737728,65,16,383792,378909
35,동반,5.076843714792191e-06,6,4,383792,378909
36,완수,2.6055780214282737e-06,1,0,383792,378909
37,분간,-7.132437095702997e-05,2,29,383792,378909
38,욕창,5.2111560428565474e-06,2,0,383792,378909
39,링,-0.0006249898376618992,64,300,383792,378909
40,지에,1.2759265451012656e-05,13,8,383792,378909
41,현금,1.0422312085713095e-05,4,0,383792,378909
42,정확,0.00034045769067468553,157,26,383792,378909
43,교대,-2.686246561287108e-07,8,8,383792,378909
44,계좌,7.81673406428482e-06,3,0,383792,378909
45,음성률,5.2111560428565474e-06,2,0,383792,378909
46,계산기,5.471713844999374e-05,21,0,383792,378909
47,키,0.000266024070465986,173,70,383792,378909
48,등록부,4.95059824071372e-05,19,0,383792,378909
49,당초,5.2111560428565474e-06,2,0,383792,378909
50,보행기,1.563346812856964e-05,6,0,383792,378909
51,블루투스,0.00043469501451231255,180,13,383792,378909
52,선별,-1.4068810649640122e-05,26,31,383792,378909
53,직업,7.81673406428482e-06,3,0,383792,378909
54,각전,2.6055780214282737e-06,1,0,383792,378909
55,아이디어,2.6055780214282737e-06,1,0,383792,378909
56,온오프,-5.3118902889048136e-06,1,3,383792,378909
57,맨눈,2.6055780214282737e-06,1,0,383792,378909
58,안착,-0.0005107338293274217,41,234,383792,378909
59,밖,1.245706271286785e-05,22,17,383792,378909
60,구체,-3.4376185508808894e-05,2,15,383792,378909
61,전치,5.2111560428565474e-06,2,0,383792,378909
62,내이,5.14399987882437e-06,4,2,383792,378909
63,장기,2.074388992537792e-05,11,3,383792,378909
64,신분,1.563346812856964e-05,6,0,383792,378909
65,소피,5.2111560428565474e-06,2,0,383792,378909
66,위재,5.2111560428565474e-06,2,0,383792,378909
67,악,7.81673406428482e-06,3,0,383792,378909
68,보안,3.0259593796656603e-05,42,30,383792,378909
69,세계,5.177577960840458e-06,3,1,383792,378909
70,수집기,-1.5868514702682264e-05,1,7,383792,378909
71,이외,1.4827594160183509e-05,30,24,383792,378909
72,중인,4.622884274538715e-05,38,20,383792,378909
73,발언,1.0422312085713095e-05,4,0,383792,378909
74,식사량,1.3027890107141369e-05,5,0,383792,378909
75,상용,-3.701534161225325e-05,2,16,383792,378909
76,일종,2.5384218573960956e-06,3,2,383792,378909
77,책정,2.6055780214282737e-06,1,0,383792,378909
78,성공,3.9083670321424105e-05,15,0,383792,378909
79,역비례,2.6055780214282737e-06,1,0,383792,378909
80,영아,2.6055780214282737e-06,1,0,383792,378909
81,일면,-0.00019042217643218718,12,84,383792,378909
82,금주,2.6055780214282737e-06,1,0,383792,378909
83,재치,2.5384218573960956e-06,3,2,383792,378909
84,상표,-6.71561640321777e-08,2,2,383792,378909
85,접종,-0.00011097886867272759,4,46,383792,378909
86,압력차,5.2111560428565474e-06,2,0,383792,378909
87,중간부,-1.0791670987890073e-05,7,11,383792,378909
88,수명,-3.187134173342889e-05,6,18,383792,378909
89,불안,1.3027890107141369e-05,5,0,383792,378909
90,브리지,-2.114682690957099e-05,1,9,383792,378909
91,수학적,4.4294826364280654e-05,17,0,383792,378909
92,운영,0.00025223739684830123,112,15,383792,378909
93,처치,0.00020584066369283362,79,0,383792,378909
94,전일,1.0422312085713095e-05,4,0,383792,378909
95,동맥혈,7.81673406428482e-06,3,0,383792,378909
96,보행자,1.2792843533028745e-05,12,7,383792,378909
97,관절,4.3086015411701457e-05,53,36,383792,378909
98,탈진,-3.43426074267928e-05,1,14,383792,378909
99,헬멧,1.0355155921680916e-05,6,2,383792,378909
100,달,4.7746409766473885e-06,15,13,383792,378909
101,문장,4.168924834285238e-05,16,0,383792,378909
102,지,-4.054104022394256e-05,107,121,383792,378909
103,졸음,0.00028895053572240963,119,8,383792,378909
104,편안,-1.0073424604826698e-07,3,3,383792,378909
105,심막,2.6055780214282737e-06,1,0,383792,378909
106,전년도,2.6055780214282737e-06,1,0,383792,378909
107,탑승,1.807115573991747e-05,12,5,383792,378909
108,기술적,2.5787155558154027e-05,18,8,383792,378909
109,정중,5.2111560428565474e-06,2,0,383792,378909
110,촬영렌즈,5.2111560428565474e-06,2,0,383792,378909
111,증명,2.6055780214282737e-06,1,0,383792,378909
112,변용,2.3450202192854464e-05,9,0,383792,378909
113,차광막,2.6055780214282737e-06,1,0,383792,378909
114,말초,4.95059824071372e-05,19,0,383792,378909
115,증가량,5.2111560428565474e-06,2,0,383792,378909
116,줌,2.6022202132266646e-05,11,1,383792,378909
117,조작,0.0002457502736888333,148,53,383792,378909
118,건강관리,0.0010135698503355983,389,0,383792,378909
119,베이스라인,2.6055780214282737e-06,1,0,383792,378909
120,간헐성,2.6055780214282737e-06,1,0,383792,378909
121,차량,-0.001361146500112796,59,574,383792,378909
122,좌표축,3.126693625713928e-05,12,0,383792,378909
123,영상,0.0011085188672259262,548,121,383792,378909
124,매스,-1.3397249009318347e-05,6,11,383792,378909
125,측정법,3.647809229999583e-05,14,0,383792,378909
126,고운,7.81673406428482e-06,3,0,383792,378909
127,시설,0.00029492047527580954,177,63,383792,378909
128,파티,5.2111560428565474e-06,2,0,383792,378909
129,프로덕트,7.81673406428482e-06,3,0,383792,378909
130,심전,0.00014591236919998332,56,0,383792,378909
131,도움,5.174220152638849e-05,31,11,383792,378909
132,하층,-2.676091993662061e-05,11,21,383792,378909
133,응력,-2.9232185629984526e-05,6,17,383792,378909
134,커패시터,-0.0002457772984404866,10,103,383792,378909
135,위상각,-1.3229358599237901e-05,1,6,383792,378909
136,외부부착,2.6055780214282737e-06,1,0,383792,378909
137,신호등,-1.0690936741841806e-05,4,8,383792,378909
138,집약,5.2111560428565474e-06,2,0,383792,378909
139,성분표,2.6055780214282737e-06,1,0,383792,378909
140,셀로,-6.71561640321777e-08,2,2,383792,378909
141,신뢰도,3.644451421797974e-05,15,1,383792,378909
142,밀접,-1.0073424604826698e-07,3,3,383792,378909
143,젓,5.2111560428565474e-06,2,0,383792,378909
144,저가,3.370462386848712e-05,18,5,383792,378909
145,회복기,7.81673406428482e-06,3,0,383792,378909
146,동계,5.2111560428565474e-06,2,0,383792,378909
147,성인,-2.388671725906362e-05,4,13,383792,378909
148,혹,1.028799975764874e-05,8,4,383792,378909
149,하측,-0.000357058369851359,23,158,383792,378909
150,적정,9.346502795125696e-05,46,10,383792,378909
151,수은,2.6055780214282737e-06,1,0,383792,378909
