,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
0,SYSTEM,AND,METHOD,FOR,CONTROLLING,THE,OPERATION,OF,AN,AGRICULTURAL,IMPLEMENT,BASED,ON,DETERMINED,SOIL,MOISTURE,CONTENT,aspect,system,operation,implement,implement,operation,field,implement,field,controller,system,data,indicative,plurality,field,characteristics,field,controller,soil,moisture,content,values,soil,field,depths,field,surface,field,data,controller,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,system,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SYSTEMS,AND,METHODS,FOR,WETTING,SEED,IN,A,GROW,POD,SYSTEM,A,method,seeds,assembly,line,grow,pod,batch,seeds,tank,water,water,source,tank,portion,tank,batch,seeds,tank,water,water,source,germination,batch,seeds,water,tank,submersion,time,water,tank,water,water,source,tank,portion,tank,batch,seeds,tank,water,water,source,submersion,time,batch,seeds,tank,pod,line,communication,assembly,line,grow,pod,time,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GRASS,TRIMMER,AND,CONTROL,METHOD,FOR,GRASS,TRIMMER,A,grass,trimmer,operating,device,user,grass,trimmer,device,grass,trimmer,head,motor,grass,trimmer,head,spool,grass,trimmer,line,housing,cavity,grass,trimmer,grass,trimmer,line,part,grass,trimmer,line,housing,part,grass,trimmer,line,grass,trimmer,controller,grass,trimmer,head,grass,trimmer,line,grass,trimmer,head,grass,trimmer,line,length,part,preset,value,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MOVING,ROBOT,AND,CONTROL,METHOD,THEREOF,A,lawn,robot,body,unit,driven,body,operation,region,controller,information,reference,line,information,vertices,polygon,operation,region,information,plurality,regions,operation,region,plurality,regions,information,controller,unit,body,movement,pattern,plurality,regions,information.,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRIMMER,HEAD,ASSEMBLY,FOR,A,TRIMMER,A,head,head,assembly,trimmer,herein,head,plate,direction,head,blade,retainer,head,base,plate,blade,retainer,arm,base,plate,base,plate,position,radial,arm,head,position,radial,arm,head,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRIMMER,HEAD,AND,GRASS,TRIMMER,A,head,spool,portion,line,head,housing,space,portion,spool,head,element,torque,spool,head,housing,spool,head,housing,spool,element,element,spool,direction,rotation,axis,parallel,rotation,axis,spool,direction,head,grass,trimmer,trimmer,line,problem,trimmer,line,jamming,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CUTTER,HOUSING,ASSEMBLY,A,LAWNMOWER,LAWNMOWER,HAVING,SAME,AND,CONVERTIBLE,LAWNMOWER,Various,types,lawnmowers,cutter,housing,chamber,wall,discharge,therein,gate,face,cutter,housing,gate,position,position,position,mulch,gate,discharge,opening,exterior,lawnmower,clippings,therethrough,lawnmower,position,mulch,gate,discharge,mulch,mode,clippings,cutter,housing,cutting,blade,mulch,gate,gate,position,face,mulch,gate,wall,surface,chamber,wall,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Weed,Seed,Destruction,Weed,seeds,chaff,combine,harvester,speed,impacts,rotor,pair,side,side,housings,seeds,direction,rotor,stator,stator,surfaces,axis,seeds,forth,rotor,stator,plurality,impacts,seeds,rotor,airstream,discharge,location,discharge,fan,angle,discharge,rotor,axis,seeds,side,combine,chopper,guide,fins,tailboard,chopper,housing,chopper,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MODULARIZED,HYDRAULIC,SYSTEM,FOR,AGRICULTURAL,COMBINE,A,system,power,source,modules,control,system,modules,components,components,operation,components,components,modules,components,components,modules,power,source,power,control,system,processors,memory,devices,power,source,components,modules,control,system,commands,components,modules,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,VARIABLE,WHEELBASE,COMBINE,A,combine,harvester,length,wheelbase,example,harvester,chassis,end,end,feeder,house,end,chassis,set,elements,end,chassis,set,elements,end,chassis,set,elements,chassis,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
